,,,WisdomAI,,,,Snowflake Intelligence,,Databricks Genie,,Microsoft Power BI,,Sigma Computing,,Omni,,HEX,
,,,120,,,,116,,134,,159,,143,,139,,121,
Category,Feature,What,Description,Score,Product Readiness,Expected Date,Description,Score,Description,Score,Description,Score,Description,Score,Description,Score,Description,Score
Data Connectivity & Integration,,"Data source connections, live queries, and warehouse integration",17%,20,,,16%,19,16%,22,17%,27,17%,25,19%,26,17%,20
,Cloud Data Warehouse Support,"Native connectivity to Snowflake, BigQuery, Redshift, Databricks",Multi-warehouse connectivity with unified query layer,4,,,Snowflake-native only; deep integration with Snowflake Data Cloud,3,"Unity Catalog-registered data; AWS, Azure, GCP warehouses",4,300+ connectors; Fabric Lakehouse native integration,5,"Snowflake, BigQuery, Redshift, Databricks, PostgreSQL, MySQL, SQL Server",5,"Redshift, BigQuery, Snowflake, Databricks, MySQL, Postgres, SQL Server",5,"Snowflake, Redshift, BigQuery primary; limited breadth",3
,Live Data / Direct Query,Query data warehouse directly without copying or extracting data,Direct warehouse queries with intelligent caching,4,,,Queries run natively in Snowflake; no data movement,5,Queries Unity Catalog tables directly in Databricks,5,DirectQuery and Import modes; Fabric live connections,4,Always live; queries run directly in cloud warehouse,5,Direct warehouse queries; no data copying,5,Direct warehouse queries; Python/SQL execution in warehouse,4
,Third-Party Data Source Connectors,"Connect to SaaS apps, APIs, databases beyond warehouses",API connectors for popular SaaS tools and databases,3,,,Limited; primarily Snowflake-native with Informatica connectors,2,Via Unity Catalog foreign tables; Glean partnership for discovery,3,"300+ connectors across databases, cloud platforms, APIs, streaming",5,Warehouse-first; relies on warehouse for third-party data,3,Warehouse-first; dbt integration for transformation logic,3,Python-based connections; arbitrary SQL/Python for data access,3
,dbt / Transformation Integration,Integration with dbt or similar transformation frameworks,dbt integration for semantic layer and transformations,3,,,Limited dbt integration; semantic views serve similar purpose,2,Unity Catalog metadata; no direct dbt integration,2,Power Query for transforms; dbt via Fabric integration,3,Bi-directional dbt integration for transformation logic,5,Bi-directional dbt integration; leverages dbt transformation logic,5,Deep dbt MetricFlow integration for semantic models,5
,Embedded Analytics,Embed dashboards and analytics into external applications,Embeddable AI analytics widgets and dashboards,3,,,REST API-first; embed conversational AI into custom apps,4,Genie Conversation API for embedded NLP; OAuth support,4,Enterprise embedded analytics with RLS; Power BI Embedded,5,Embedded analytics with secure sharing and permissions,4,Strong embedded analytics security; purpose-built for embedding,5,Share as Data Apps; limited enterprise embedding,3
,Real-Time / Streaming Data,Support for real-time data streams and event-driven analytics,Near real-time refresh with streaming data support,3,,,Snowflake Streams for near-real-time; Cortex processes on refresh,3,Delta Live Tables for streaming; real-time data pipelines,4,Fabric streaming integration; real-time dashboards,5,Live warehouse queries; near real-time via warehouse refresh,3,Warehouse-dependent; near real-time via warehouse refresh,3,Limited streaming support; batch-oriented workflows,2
